"Country","Year","Flow","Value","label3country","label1country"
"Japan",2016,"Revenue",14.1384,NA,NA
"Japan",2017,"Revenue",17.6459,NA,NA
"Japan",2018,"Revenue",22.1103,NA,NA
"Japan",2019,"Revenue",20.1399,NA,NA
"Japan",2020,"Revenue",22.043,"Revenue","Japan"
"Netherlands",2016,"Revenue",5.7832,NA,NA
"Netherlands",2017,"Revenue",7.8143,NA,NA
"Netherlands",2018,"Revenue",10.9468,NA,NA
"Netherlands",2019,"Revenue",11.0949,NA,NA
"Netherlands",2020,"Revenue",12.9619,"Revenue","Netherlands"
"USA",2016,"Revenue",18.4989,NA,NA
"USA",2017,"Revenue",25.5321,NA,NA
"USA",2018,"Revenue",27.0131,NA,NA
"USA",2019,"Revenue",24.9737,NA,NA
"USA",2020,"Revenue",30.7556,"Revenue","USA"
"Japan",2016,"Exports",9.319590471,NA,NA
"Japan",2017,"Exports",12.028532758,NA,NA
"Japan",2018,"Exports",13.9446305,NA,NA
"Japan",2019,"Exports",13.795971043,NA,NA
"Japan",2020,"Exports",14.679193994,"Exports","Japan"
"Netherlands",2016,"Exports",4.312960748,NA,NA
"Netherlands",2017,"Exports",6.2377637,NA,NA
"Netherlands",2018,"Exports",9.752636508,NA,NA
"Netherlands",2019,"Exports",10.608965338,NA,NA
"Netherlands",2020,"Exports",11.74472174,"Exports","Netherlands"
"USA",2016,"Exports",10.568203812,NA,NA
"USA",2017,"Exports",14.052510066,NA,NA
"USA",2018,"Exports",14.24438541,NA,NA
"USA",2019,"Exports",11.777129115,NA,NA
"USA",2020,"Exports",14.712386058,"Exports","USA"
"Japan",2016,"PercentExpRev",65.9168680402309,NA,NA
"Japan",2017,"PercentExpRev",68.1661618732963,NA,NA
"Japan",2018,"PercentExpRev",63.0684816578699,NA,NA
"Japan",2019,"PercentExpRev",68.5006928683856,NA,NA
"Japan",2020,"PercentExpRev",66.5934491403167,"PercentExpRev","Japan"
"Netherlands",2016,"PercentExpRev",74.5774095310555,NA,NA
"Netherlands",2017,"PercentExpRev",79.8249836837593,NA,NA
"Netherlands",2018,"PercentExpRev",89.0912093762561,NA,NA
"Netherlands",2019,"PercentExpRev",95.6201979107518,NA,NA
"Netherlands",2020,"PercentExpRev",90.6095691218108,"PercentExpRev","Netherlands"
"USA",2016,"PercentExpRev",57.1288228597376,NA,NA
"USA",2017,"PercentExpRev",55.0385987286592,NA,NA
"USA",2018,"PercentExpRev",52.7313985066505,NA,NA
"USA",2019,"PercentExpRev",47.1581268094035,NA,NA
"USA",2020,"PercentExpRev",47.8364462341817,"PercentExpRev","USA"
